icd10code,icd10codedescr,disease_new,disease_name_new,disease_number_new
Z46.1,Fitting and adjustment of hearing aid,Hearing loss,deaf,82
Z97.4,Presence of external hearing-aid,Hearing loss,deaf,82
H91,Other hearing loss,Hearing loss,deaf,82
H90,Conductive and sensorineural hearing loss,Hearing loss,deaf,82
Z45.3,Adjustment and management of implanted hearing device,Hearing loss,deaf,82
F05,"Delirium, not induced by alcohol and other psychoactive substances","Delirium, not induced by alcohol and other psychoactive substances",delirium,184
F03,Unspecified dementia,Dementia,dementia,215
F00,Dementia in Alzheimer's disease,Dementia,dementia,215
F05.1,Delirium superimposed on dementia,Dementia,dementia,215
G30,Alzheimer's disease,Dementia,dementia,215
F01,Vascular dementia,Dementia,dementia,215
F32,Depressive episode,Depression,depression,185
F33,Recurrent depressive disorder,Depression,depression,185
L20,Atopic dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L23,Allergic contact dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L27,Dermatitis due to substances taken internally,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L25,Unspecified contact dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L28,Lichen simplex chronicus and prurigo,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.8,Other specified dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.0,Nummular dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.2,Cutaneous autosensitization,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L24,Irritant contact dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.1,Dyshidrosis [pompholyx],Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L26,Exfoliative dermatitis,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.9,"Dermatitis, unspecified",Dermatitis (atopc/contact/other/unspecified),dermatitis,231
L30.5,Pityriasis alba,Dermatitis (atopc/contact/other/unspecified),dermatitis,231
H35.0,Background retinopathy and retinal vascular changes,Diabetic ophthalmic complications,diab_eye,92
E13.3,Other specified diabetes mellitus - With ophthalmic complications,Diabetic ophthalmic complications,diab_eye,92
E14.3,Unspecified diabetes mellitus - With ophthalmic complications,Diabetic ophthalmic complications,diab_eye,92
E10.3,Insulin-dependent diabetes mellitus - With ophthalmic complications,Diabetic ophthalmic complications,diab_eye,92
E12.3,Malnutrition-related diabetes mellitus - With ophthalmic complications,Diabetic ophthalmic complications,diab_eye,92
H28.0,Diabetic cataract,Diabetic ophthalmic complications,diab_eye,92
E11.3,Non-insulin-dependent diabetes mellitus - With ophthalmic complications,Diabetic ophthalmic complications,diab_eye,92
H35.2,Other proliferative retinopathy,Diabetic ophthalmic complications,diab_eye,92
H36.0,Diabetic retinopathy,Diabetic ophthalmic complications,diab_eye,92
E10,Insulin-dependent diabetes mellitus,Diabetes,diabetes,85
G63.2,Diabetic polyneuropathy,Diabetes,diabetes,85
E12,Malnutrition-related diabetes mellitus,Diabetes,diabetes,85
E13,Other specified diabetes mellitus,Diabetes,diabetes,85
E14,Unspecified diabetes mellitus,Diabetes,diabetes,85
M14.2,Diabetic arthropathy,Diabetes,diabetes,85
G59.0,Diabetic mononeuropathy,Diabetes,diabetes,85
O24.1,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",Diabetes,diabetes,85
H28.0,Diabetic cataract,Diabetes,diabetes,85
O24.2,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,Diabetes,diabetes,85
H36.0,Diabetic retinopathy,Diabetes,diabetes,85
N08.3,Glomerular disorders in diabetes mellitus,Diabetes,diabetes,85
O24.0,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",Diabetes,diabetes,85
E11,Non-insulin-dependent diabetes mellitus,Diabetes,diabetes,85
O24.3,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",Diabetes,diabetes,85
A08,Viral and other specified intestinal infections,Infections of the digestive system,digestive,166
A01,Typhoid and paratyphoid fevers,Infections of the digestive system,digestive,166
B78.0,Intestinal strongyloidiasis,Infections of the digestive system,digestive,166
B82,Unspecified intestinal parasitism,Infections of the digestive system,digestive,166
A22.2,Gastrointestinal anthrax,Infections of the digestive system,digestive,166
A06.1,Chronic intestinal amoebiasis,Infections of the digestive system,digestive,166
A00,Cholera,Infections of the digestive system,digestive,166
B46.2,Gastrointestinal mucormycosis,Infections of the digestive system,digestive,166
B05.4,Measles with intestinal complications,Infections of the digestive system,digestive,166
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Infections of the digestive system,digestive,166
A02.0,Salmonella enteritis,Infections of the digestive system,digestive,166
B81,"Other intestinal helminthiases, not elsewhere classified",Infections of the digestive system,digestive,166
B98.0,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,Infections of the digestive system,digestive,166
A06.3,Amoeboma of intestine,Infections of the digestive system,digestive,166
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",Infections of the digestive system,digestive,166
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Infections of the digestive system,digestive,166
K23.0,Tuberculous oesophagitis,Infections of the digestive system,digestive,166
K23.1,Megaoesophagus in Chagas' disease,Infections of the digestive system,digestive,166
A03,Shigellosis,Infections of the digestive system,digestive,166
A21.3,Gastrointestinal tularaemia,Infections of the digestive system,digestive,166
K93.0,"Tuberculous disorders of intestines, peritoneum and mesenteric glands",Infections of the digestive system,digestive,166
A06.2,Amoebic nondysenteric colitis,Infections of the digestive system,digestive,166
K63.0,Abscess of intestine,Infections of the digestive system,digestive,166
A04,Other bacterial intestinal infections,Infections of the digestive system,digestive,166
A07,Other protozoal intestinal diseases,Infections of the digestive system,digestive,166
A06.0,Acute amoebic dysentery,Infections of the digestive system,digestive,166
K57,Diverticular disease of intestine,Diverticular disease of intestine (acute and chronic),diverticuli,66
K38.2,Diverticulum of appendix,Diverticular disease of intestine (acute and chronic),diverticuli,66
N94.6,"Dysmenorrhoea, unspecified",Dysmenorrhoea,dysmenorrhoea,104
N94.5,Secondary dysmenorrhoea,Dysmenorrhoea,dysmenorrhoea,104
N94.4,Primary dysmenorrhoea,Dysmenorrhoea,dysmenorrhoea,104
A36.2,Laryngeal diphtheria,Ear and Upper Respiratory Tract Infections,ear_urti,153
J00,Acute nasopharyngitis [common cold],Ear and Upper Respiratory Tract Infections,ear_urti,153
H67,Otitis media in diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
J36,Peritonsillar abscess,Ear and Upper Respiratory Tract Infections,ear_urti,153
H62.0,Otitis externa in bacterial diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
H73.0,Acute myringitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
B87.4,Aural myiasis,Ear and Upper Respiratory Tract Infections,ear_urti,153
H62.4,Otitis externa in other diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
H66,Suppurative and unspecified otitis media,Ear and Upper Respiratory Tract Infections,ear_urti,153
H60,Otitis externa,Ear and Upper Respiratory Tract Infections,ear_urti,153
H62.3,Otitis externa in other infectious and parasitic diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
H73.1,Chronic myringitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
A54.5,Gonococcal pharyngitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
B87.3,Nasopharyngeal myiasis,Ear and Upper Respiratory Tract Infections,ear_urti,153
J06,Acute upper respiratory infections of multiple and unspecified sites,Ear and Upper Respiratory Tract Infections,ear_urti,153
H75.0,Mastoiditis in infectious and parasitic diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
J01,Acute sinusitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
J05,Acute obstructive laryngitis [croup] and epiglottitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
H62.2,Otitis externa in mycoses,Ear and Upper Respiratory Tract Infections,ear_urti,153
J04,Acute laryngitis and tracheitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
A56.4,Chlamydial infection of pharynx,Ear and Upper Respiratory Tract Infections,ear_urti,153
J02,Acute pharyngitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
B44.2,Tonsillar aspergillosis,Ear and Upper Respiratory Tract Infections,ear_urti,153
B05.3,Measles complicated by otitis media,Ear and Upper Respiratory Tract Infections,ear_urti,153
H70,Mastoiditis and related conditions,Ear and Upper Respiratory Tract Infections,ear_urti,153
J39.0,Retropharyngeal and parapharyngeal abscess,Ear and Upper Respiratory Tract Infections,ear_urti,153
H65,Nonsuppurative otitis media,Ear and Upper Respiratory Tract Infections,ear_urti,153
J39.1,Other abscess of pharynx,Ear and Upper Respiratory Tract Infections,ear_urti,153
J03,Acute tonsillitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
H62.1,Otitis externa in viral diseases classified elsewhere,Ear and Upper Respiratory Tract Infections,ear_urti,153
J34.0,"Abscess, furuncle and carbuncle of nose",Ear and Upper Respiratory Tract Infections,ear_urti,153
B27,Infectious mononucleosis,Ear and Upper Respiratory Tract Infections,ear_urti,153
A36.0,Pharyngeal diphtheria,Ear and Upper Respiratory Tract Infections,ear_urti,153
A36.1,Nasopharyngeal diphtheria,Ear and Upper Respiratory Tract Infections,ear_urti,153
J37,Chronic laryngitis and laryngotracheitis,Ear and Upper Respiratory Tract Infections,ear_urti,153
A18.6,Tuberculosis of ear,Ear and Upper Respiratory Tract Infections,ear_urti,153
F50.3,Atypical bulimia nervosa,Anorexia and bulimia nervosa,eating_dz,180
F50.1,Atypical anorexia nervosa,Anorexia and bulimia nervosa,eating_dz,180
F50.2,Bulimia nervosa,Anorexia and bulimia nervosa,eating_dz,180
F50.0,Anorexia nervosa,Anorexia and bulimia nervosa,eating_dz,180
N48.4,Impotence of organic origin,Erectile dysfunction,ed,107
F52.2,Failure of genital response,Erectile dysfunction,ed,107
A84,Tick-borne viral encephalitis,Encephalitis,enceph,154
A85,"Other viral encephalitis, not elsewhere classified",Encephalitis,enceph,154
B26.2,Mumps encephalitis,Encephalitis,enceph,154
A83,Mosquito-borne viral encephalitis,Encephalitis,enceph,154
A86,Unspecified viral encephalitis,Encephalitis,enceph,154
B94.1,Sequelae of viral encephalitis,Encephalitis,enceph,154
B00.4,Herpesviral encephalitis,Encephalitis,enceph,154
B01.1,Varicella encephalitis,Encephalitis,enceph,154
B05.0,Measles complicated by encephalitis,Encephalitis,enceph,154
B02.0,Zoster encephalitis,Encephalitis,enceph,154
N85.1,Endometrial adenomatous hyperplasia,Endometrial hyperplasia and hypertrophy,endometrial_hyper,105
N85.0,Endometrial glandular hyperplasia,Endometrial hyperplasia and hypertrophy,endometrial_hyper,105
N85.2,Hypertrophy of uterus,Endometrial hyperplasia and hypertrophy,endometrial_hyper,105
N80,Endometriosis,Endometriosis,endometriosis,106
M07.4,Arthropathy in Crohn's disease [regional enteritis],Enteropathic arthropathy,entero_arthro,196
M07.6,Other enteropathic arthropathies,Enteropathic arthropathy,entero_arthro,196
M07.5,Arthropathy in ulcerative colitis,Enteropathic arthropathy,entero_arthro,196
M77.2,Periarthritis of wrist,Connective & soft tissue disorders,connective,195
M71.8,Other specified bursopathies,Connective & soft tissue disorders,connective,195
M71.4,Calcium deposit in bursa,Connective & soft tissue disorders,connective,195
M65.4,Radial styloid tenosynovitis [de Quervain],Connective & soft tissue disorders,connective,195
M65.3,Trigger finger,Connective & soft tissue disorders,connective,195
M76,"Enthesopathies of lower limb, excluding foot",Connective & soft tissue disorders,connective,195
M65.2,Calcific tendinitis,Connective & soft tissue disorders,connective,195
M75,Shoulder lesions,Connective & soft tissue disorders,connective,195
M77.0,Medial epicondylitis,Connective & soft tissue disorders,connective,195
M77.3,Calcaneal spur,Connective & soft tissue disorders,connective,195
M71.9,"Bursopathy, unspecified",Connective & soft tissue disorders,connective,195
M65.9,"Synovitis and tenosynovitis, unspecified",Connective & soft tissue disorders,connective,195
M77.1,Lateral epicondylitis,Connective & soft tissue disorders,connective,195
M77.9,"Enthesopathy, unspecified",Connective & soft tissue disorders,connective,195
M65.8,Other synovitis and tenosynovitis,Connective & soft tissue disorders,connective,195
M77.5,Other enthesopathy of foot,Connective & soft tissue disorders,connective,195
M46.0,Spinal enthesopathy,Connective & soft tissue disorders,connective,195
M66,Spontaneous rupture of synovium and tendon,Connective & soft tissue disorders,connective,195
M71.3,Other bursal cyst,Connective & soft tissue disorders,connective,195
M71.5,"Other bursitis, not elsewhere classified",Connective & soft tissue disorders,connective,195
M77.8,"Other enthesopathies, not elsewhere classified",Connective & soft tissue disorders,connective,195
M71.2,Synovial cyst of popliteal space [Baker],Connective & soft tissue disorders,connective,195
M70,"Soft tissue disorders related to use, overuse and pressure",Connective & soft tissue disorders,connective,195
G41,Status epilepticus,Epilepsy,epilepsy,217
G40,Epilepsy,Epilepsy,epilepsy,217
Y61.2,During kidney dialysis or other perfusion,Chronic kidney disease,ckd,103
N16.5,Renal tubulo-interstitial disorders in transplant rejection,Chronic kidney disease,ckd,103
T86.1,Kidney transplant failure and rejection,Chronic kidney disease,ckd,103
N17,Acute renal failure,Chronic kidney disease,ckd,103
N25,Disorders resulting from impaired renal tubular function,Chronic kidney disease,ckd,103
N05.2,Unspecified nephritic syndrome ;  Diffuse membranous glomerulonephritis,Chronic kidney disease,ckd,103
N18.4,"Chronic kidney disease, stage 4",Chronic kidney disease,ckd,103
Y84.1,Kidney dialysis,Chronic kidney disease,ckd,103
N18.1,"Chronic kidney disease, stage 1",Chronic kidney disease,ckd,103
Z94.0,Kidney transplant status,Chronic kidney disease,ckd,103
N19,Unspecified kidney failure,Chronic kidney disease,ckd,103
N05.4,Unspecified nephritic syndrome ;  Diffuse endocapillary proliferative glomerulonephritis,Chronic kidney disease,ckd,103
N18.9,"Chronic kidney disease, unspecified",Chronic kidney disease,ckd,103
N07.2,"Hereditary nephropathy, not elsewhere classified ;  Diffuse membranous glomerulonephritis",Chronic kidney disease,ckd,103
Z49.1,Extracorporeal dialysis,Chronic kidney disease,ckd,103
N18.5,"Chronic kidney disease, stage 5",Chronic kidney disease,ckd,103
T86.1,Kidney transplant failure and rejection,Chronic kidney disease,ckd,103
N07.4,"Hereditary nephropathy, not elsewhere classified ;  Diffuse endocapillary proliferative glomerulonephritis",Chronic kidney disease,ckd,103
T82.4,Mechanical complication of vascular dialysis catheter,Chronic kidney disease,ckd,103
Z99.2,Dependence on renal dialysis,Chronic kidney disease,ckd,103
Y84.1,Kidney dialysis,Chronic kidney disease,ckd,103
N05.6,Unspecified nephritic syndrome ;  Dense deposit disease,Chronic kidney disease,ckd,103
Z49,Care involving dialysis,Chronic kidney disease,ckd,103
N18.3,"Chronic kidney disease, stage 3",Chronic kidney disease,ckd,103
N05.5,Unspecified nephritic syndrome ;  Diffuse mesangiocapillary glomerulonephritis,Chronic kidney disease,ckd,103
N05.3,Unspecified nephritic syndrome ;  Diffuse mesangial proliferative glomerulonephritis,Chronic kidney disease,ckd,103
N01,Rapidly progressive nephritic syndrome,Chronic kidney disease,ckd,103
N07.3,"Hereditary nephropathy, not elsewhere classified ;  Diffuse mesangial proliferative glomerulonephritis",Chronic kidney disease,ckd,103
N18.5,"Chronic kidney disease, stage 5",Chronic kidney disease,ckd,103
N03,Chronic nephritic syndrome,Chronic kidney disease,ckd,103
N18.2,"Chronic kidney disease, stage 2",Chronic kidney disease,ckd,103
N10,Acute tubulo-interstitial nephritis,Chronic kidney disease,ckd,103
N00,Acute nephritic syndrome,Chronic kidney disease,ckd,103
Z99.2,Dependence on renal dialysis,Chronic kidney disease,ckd,103
Z94.0,Kidney transplant status,Chronic kidney disease,ckd,103
Z49.2,Other dialysis,Chronic kidney disease,ckd,103
Y60.2,During kidney dialysis or other perfusion,Chronic kidney disease,ckd,103
G25.0,Essential tremor,Essential tremor,essential_tremor,218
A54.3,Gonococcal infection of eye,Eye infections,eye,155
B00.5,Herpesviral ocular disease,Eye infections,eye,155
H19.2,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,Eye infections,eye,155
B69.1,Cysticercosis of eye,Eye infections,eye,155
B58.0,Toxoplasma oculopathy,Eye infections,eye,155
A18.5,Tuberculosis of eye,Eye infections,eye,155
B02.3,Zoster ocular disease,Eye infections,eye,155
H00.0,Hordeolum and other deep inflammation of eyelid,Eye infections,eye,155
H10,Conjunctivitis,Eye infections,eye,155
H19.1,Herpesviral keratitis and keratoconjunctivitis,Eye infections,eye,155
B94.0,Sequelae of trachoma,Eye infections,eye,155
B87.2,Ocular myiasis,Eye infections,eye,155
A71,Trachoma,Eye infections,eye,155
P39.1,Neonatal conjunctivitis and dacryocystitis,Eye infections,eye,155
H13.1,Conjunctivitis in infectious and parasitic diseases classified elsewhere,Eye infections,eye,155
A21.1,Oculoglandular tularaemia,Eye infections,eye,155
B30,Viral conjunctivitis,Eye infections,eye,155
A74.0,Chlamydial conjunctivitis,Eye infections,eye,155
K70.0,Alcoholic fatty liver,Fatty Liver,fatty_liver,67
K76.0,"Fatty (change of) liver, not elsewhere classified",Fatty Liver,fatty_liver,67
K75.8,Other specified inflammatory liver diseases,Fatty Liver,fatty_liver,67
N81,Female genital prolapse,Female genital prolapse,female_genital_prolapse,108
N97,Female infertility,Female infertility,female_infertility,109
M72.0,Palmar fascial fibromatosis [Dupuytren],Fibromatoses,fibromatosis,197
M72.1,Knuckle pads,Fibromatoses,fibromatosis,197
D52,Folate deficiency anaemia,Folate deficiency anaemia,folatedef,139
S72.1,Pertrochanteric fracture,Fracture of hip,fracture_hip,198
S72.0,Fracture of neck of femur,Fracture of hip,fracture_hip,198
S72.2,Subtrochanteric fracture,Fracture of hip,fracture_hip,198
S52.5,Fracture of lower end of radius,Fracture of wrist,fracture_wrist,199
S52.6,Fracture of lower end of both ulna and radius,Fracture of wrist,fracture_wrist,199
K29,Gastritis and duodenitis,Gastritis and duodenitis,gastritis_duodenitis,68
M31.6,Other giant cell arteritis,Giant Cell arteritis,gca,200
M31.5,Giant cell arteritis with polymyalgia rheumatica,Giant Cell arteritis,gca,200
H40.1,Primary open-angle glaucoma,Glaucoma,glaucoma,93
H40.2,Primary angle-closure glaucoma,Glaucoma,glaucoma,93
H40.9,"Glaucoma, unspecified",Glaucoma,glaucoma,93
N00.3,Acute nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N01.2,Rapidly progressive nephritic syndrome - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N02.9,Recurrent and persistent haematuria - Unspecified,Glomerulonephritis,gn,110
N06.9,Isolated proteinuria with specified morphological lesion - Unspecified,Glomerulonephritis,gn,110
N05.6,Unspecified nephritic syndrome - Dense deposit disease,Glomerulonephritis,gn,110
N04.1,Nephrotic syndrome - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N06.5,Isolated proteinuria with specified morphological lesion - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N01.8,Rapidly progressive nephritic syndrome - Other,Glomerulonephritis,gn,110
N05.9,Unspecified nephritic syndrome - Unspecified,Glomerulonephritis,gn,110
N01.9,Rapidly progressive nephritic syndrome - Unspecified,Glomerulonephritis,gn,110
N00.9,Acute nephritic syndrome - Unspecified,Glomerulonephritis,gn,110
N01.1,Rapidly progressive nephritic syndrome - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N03.7,Chronic nephritic syndrome - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N02.3,Recurrent and persistent haematuria - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N00.4,Acute nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N04.8,Nephrotic syndrome - Other,Glomerulonephritis,gn,110
N06.8,Isolated proteinuria with specified morphological lesion - Other,Glomerulonephritis,gn,110
N06.1,Isolated proteinuria with specified morphological lesion - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N05.3,Unspecified nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N04.9,Nephrotic syndrome - Unspecified,Glomerulonephritis,gn,110
N02.7,Recurrent and persistent haematuria - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N02.8,Recurrent and persistent haematuria - Other,Glomerulonephritis,gn,110
N04.0,Nephrotic syndrome - Minor glomerular abnormality,Glomerulonephritis,gn,110
N02.2,Recurrent and persistent haematuria - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N03.1,Chronic nephritic syndrome - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N02.6,Recurrent and persistent haematuria - Dense deposit disease,Glomerulonephritis,gn,110
N03.8,Chronic nephritic syndrome - Other,Glomerulonephritis,gn,110
N04.2,Nephrotic syndrome - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N01.4,Rapidly progressive nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N06.6,Isolated proteinuria with specified morphological lesion - Dense deposit disease,Glomerulonephritis,gn,110
N02.0,Recurrent and persistent haematuria - Minor glomerular abnormality,Glomerulonephritis,gn,110
N05.2,Unspecified nephritic syndrome - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N05.8,Unspecified nephritic syndrome - Other,Glomerulonephritis,gn,110
N01.3,Rapidly progressive nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N00.2,Acute nephritic syndrome - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N00.6,Acute nephritic syndrome - Dense deposit disease,Glomerulonephritis,gn,110
N05.4,Unspecified nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N04.6,Nephrotic syndrome - Dense deposit disease,Glomerulonephritis,gn,110
N04.4,Nephrotic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N01.5,Rapidly progressive nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N03.5,Chronic nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N03.4,Chronic nephritic syndrome - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N00.5,Acute nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N03.6,Chronic nephritic syndrome - Dense deposit disease,Glomerulonephritis,gn,110
N02.1,Recurrent and persistent haematuria - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N00.0,Acute nephritic syndrome - Minor glomerular abnormality,Glomerulonephritis,gn,110
N01.0,Rapidly progressive nephritic syndrome - Minor glomerular abnormality,Glomerulonephritis,gn,110
N03.3,Chronic nephritic syndrome - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N03.2,Chronic nephritic syndrome - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N00.7,Acute nephritic syndrome - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N03.9,Chronic nephritic syndrome - Unspecified,Glomerulonephritis,gn,110
N05.5,Unspecified nephritic syndrome - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N03.0,Chronic nephritic syndrome - Minor glomerular abnormality,Glomerulonephritis,gn,110
N04.5,Nephrotic syndrome - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N02.4,Recurrent and persistent haematuria - Diffuse endocapillary proliferative glomerulonephritis,Glomerulonephritis,gn,110
N05.1,Unspecified nephritic syndrome - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N04.7,Nephrotic syndrome - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N01.7,Rapidly progressive nephritic syndrome - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N00.8,Acute nephritic syndrome - Other,Glomerulonephritis,gn,110
N06.2,Isolated proteinuria with specified morphological lesion - Diffuse membranous glomerulonephritis,Glomerulonephritis,gn,110
N06.3,Isolated proteinuria with specified morphological lesion - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
N02.5,Recurrent and persistent haematuria - Diffuse mesangiocapillary glomerulonephritis,Glomerulonephritis,gn,110
N05.7,Unspecified nephritic syndrome - Diffuse crescentic glomerulonephritis,Glomerulonephritis,gn,110
N00.1,Acute nephritic syndrome - Focal and segmental glomerular lesions,Glomerulonephritis,gn,110
N06.0,Isolated proteinuria with specified morphological lesion - Minor glomerular abnormality,Glomerulonephritis,gn,110
N05.0,Unspecified nephritic syndrome - Minor glomerular abnormality,Glomerulonephritis,gn,110
N04.3,Nephrotic syndrome - Diffuse mesangial proliferative glomerulonephritis,Glomerulonephritis,gn,110
K21,Gastro-oesophageal reflux disease,Gastro-oesophageal reflux disease,gord,69
M10,Gout,Gout,gout,201
M14.0,Gouty arthropathy due to enzyme defects and other inherited disorders,Gout,gout,201
D18.0,"Haemangioma, any site","Haemangioma, any site",haemangioma,5
A52.0,Cardiovascular syphilis,Infections of the Heart,heart,165
I98.0,Cardiovascular syphilis,Infections of the Heart,heart,165
I30.1,Infective pericarditis,Infections of the Heart,heart,165
B33.2,Viral carditis,Infections of the Heart,heart,165
I32.0,Pericarditis in bacterial diseases classified elsewhere,Infections of the Heart,heart,165
I43.0,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,Infections of the Heart,heart,165
I32.1,Pericarditis in other infectious and parasitic diseases classified elsewhere,Infections of the Heart,heart,165
I40.0,Infective myocarditis,Infections of the Heart,heart,165
B37.6,Candidal endocarditis,Infections of the Heart,heart,165
I33.0,Acute and subacute infective endocarditis,Infections of the Heart,heart,165
I41.1,Myocarditis in viral diseases classified elsewhere,Infections of the Heart,heart,165
I98.1,Cardiovascular disorders in other infectious and parasitic diseases classified elsewhere,Infections of the Heart,heart,165
A39.5,Meningococcal heart disease,Infections of the Heart,heart,165
I41.0,Myocarditis in bacterial diseases classified elsewhere,Infections of the Heart,heart,165
I41.2,Myocarditis in other infectious and parasitic diseases classified elsewhere,Infections of the Heart,heart,165
K42,Umbilical hernia,Abdominal Hernia,hernia_abdo,52
K43,Ventral hernia,Abdominal Hernia,hernia_abdo,52
K46,Unspecified abdominal hernia,Abdominal Hernia,hernia_abdo,52
K45,Other abdominal hernia,Abdominal Hernia,hernia_abdo,52
K41,Femoral hernia,Abdominal Hernia,hernia_abdo,52
K40,Inguinal hernia,Abdominal Hernia,hernia_abdo,52
K44,Diaphragmatic hernia,Diaphragmatic hernia,hernia_diaphragm,65
I50,Heart failure,Heart failure,hf,24
I11.0,Hypertensive heart disease with (congestive) heart failure,Heart failure,hf,24
I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,Heart failure,hf,24
I13.0,Hypertensive heart and renal disease with (congestive) heart failure,Heart failure,hf,24
L73.2,Hidradenitis suppurativa,Hidradenitis suppurativa,hidradenitis,232
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,HIV,hiv,157
Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,HIV,hiv,157
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,HIV,hiv,157
F02.4,Dementia in human immunodeficiency virus [HIV] disease,HIV,hiv,157
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,HIV,hiv,157
B24,Unspecified human immunodeficiency virus [HIV] disease,HIV,hiv,157
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,HIV,hiv,157
R75,Laboratory evidence of human immunodeficiency virus [HIV],HIV,hiv,157
I42.2,Other hypertrophic cardiomyopathy,Hypertrophic Cardiomyopathy,hocm,26
