opcs4code,opcs4codedescr,disease_new,disease_name_new,disease_number_new
T261,Repair of recurrent incisional hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T262,Repair of recurrent incisional hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T263,Repair of recurrent incisional hernia using sutures,Abdominal Hernia,hernia_abdo,52
T264,Removal of prosthetic material from previous repair of incisional hernia,Abdominal Hernia,hernia_abdo,52
T268,Other specified repair of recurrent incisional hernia,Abdominal Hernia,hernia_abdo,52
T269,Unspecified repair of recurrent incisional hernia,Abdominal Hernia,hernia_abdo,52
T27,Repair of other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
T271,Repair of ventral hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T272,Repair of ventral hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T273,Repair of ventral hernia using sutures,Abdominal Hernia,hernia_abdo,52
T274,Removal of prosthetic material from previous repair of ventral hernia,Abdominal Hernia,hernia_abdo,52
T278,Other specified repair of other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
T279,Unspecified repair of other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
T521,Palmar fasciectomy,Fibromatoses,fibromatosis,197
T522,Revision of palmar fasciectomy,Fibromatoses,fibromatosis,197
T541,Division of palmar fascia,Fibromatoses,fibromatosis,197
T97,Repair of recurrent umbilical hernia,Abdominal Hernia,hernia_abdo,52
T971,Repair of recurrent umbilical hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T972,Repair of recurrent umbilical hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T973,Repair of recurrent umbilical hernia using sutures,Abdominal Hernia,hernia_abdo,52
T978,Other specified repair of recurrent umbilical hernia,Abdominal Hernia,hernia_abdo,52
T979,Unspecified repair of recurrent umbilical hernia,Abdominal Hernia,hernia_abdo,52
T98,Repair of recurrent other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
T981,Repair of recurrent ventral hernia using insert of natural material,Abdominal Hernia,hernia_abdo,52
T982,Repair of recurrent ventral hernia using insert of prosthetic material,Abdominal Hernia,hernia_abdo,52
T983,Repair of recurrent ventral hernia using sutures,Abdominal Hernia,hernia_abdo,52
T988,Other specified repair of recurrent other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
T989,Unspecified repair of recurrent other hernia of abdominal wall,Abdominal Hernia,hernia_abdo,52
V29,Primary excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V291,Primary laminectomy excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V292,Primary hemilaminectomy excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V293,Primary fenestration excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V294,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine,Intervertebral disc disorders,intervert_disc,202
V295,Primary anterior excision of cervical intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V296,Primary microdiscectomy of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V298,Other specified primary excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V299,Unspecified primary excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V30,Revisional excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V301,Revisional laminectomy excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V302,Revisional hemilaminectomy excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V303,Revisional fenestration excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V304,Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine,Intervertebral disc disorders,intervert_disc,202
V305,Revisional anterior excision of cervical intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V306,Revisional microdiscectomy of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V308,Other specified revisional excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V309,Unspecified revisional excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V31,Primary excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V311,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ,Intervertebral disc disorders,intervert_disc,202
V312,Primary anterolateral excision of thoracic intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V313,Primary costotransversectomy of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V314,Primary percutaneous endoscopic excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V318,Other specified primary excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V319,Unspecified primary excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V32,Revisional excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V321,Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ,Intervertebral disc disorders,intervert_disc,202
V322,Revisional anterolateral excision of thoracic intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V323,Revisional costotransversectomy of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V324,Revisional percutaneous endoscopic excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V328,Other specified revisional excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V329,Unspecified revisional excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V33,Primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V331,Primary laminectomy excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V332,Primary fenestration excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V333,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V334,Primary anterior excision of lumbar intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V335,Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V336,Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V337,Primary microdiscectomy of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V338,Other specified primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V339,Unspecified primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V34,Revisional excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V341,Revisional laminectomy excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V342,Revisional fenestration excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V343,Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V344,Revisional anterior excision of lumbar intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V345,Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V346,Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V347,Revisional microdiscectomy of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V348,Other specified revisional excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V349,Unspecified revisional excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V35,Excision of unspecified intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V351,Primary excision of intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V352,Revisional excision of intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V358,Other specified excision of unspecified intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V359,Unspecified excision of unspecified intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V36,Prosthetic replacement of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V361,Prosthetic replacement of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V362,Prosthetic replacement of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V363,Prosthetic replacement of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V368,Other specified prosthetic replacement of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V369,Unspecified prosthetic replacement of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V44,Decompression of fracture of spine,Collapsed vertebra,collapsed_vert,194
V441,Complex decompression of fracture of spine,Collapsed vertebra,collapsed_vert,194
V442,Anterior decompression of fracture of spine,Collapsed vertebra,collapsed_vert,194
V443,Posterior decompression of fracture of spine NEC,Collapsed vertebra,collapsed_vert,194
V444,Vertebroplasty of fracture of spine,Collapsed vertebra,collapsed_vert,194
V445,Balloon kyphoplasty of fracture of spine,Collapsed vertebra,collapsed_vert,194
V448,Other specified decompression of fracture of spine,Collapsed vertebra,collapsed_vert,194
V449,Unspecified decompression of fracture of spine,Collapsed vertebra,collapsed_vert,194
V51,Other primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V511,Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine,Intervertebral disc disorders,intervert_disc,202
V518,Other specified other primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V519,Unspecified other primary excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V52,Other operations on intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V521,Enzyme destruction of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V522,Destruction of intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V523,Discography of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V524,Biopsy of lesion of intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V525,Aspiration of intervertebral disc NEC,Intervertebral disc disorders,intervert_disc,202
V528,Other specified other operations on intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V529,Unspecified other operations on intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V58,Primary automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V581,Primary automated percutaneous mechanical excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V582,Primary automated percutaneous mechanical excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V583,Primary automated percutaneous mechanical excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V588,Other specified primary automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V589,Unspecified primary automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V59,Revisional automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V591,Revisional automated percutaneous mechanical excision of cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V592,Revisional automated percutaneous mechanical excision of thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V593,Revisional automated percutaneous mechanical excision of lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V598,Other specified revisional automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V599,Unspecified revisional automated percutaneous mechanical excision of intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V60,Primary percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V601,Primary percutaneous decompression using coblation to cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V602,Primary percutaneous decompression using coblation to thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V603,Primary percutaneous decompression using coblation to lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V608,Other specified primary percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V609,Unspecified primary percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V61,Revisional percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V611,Revisional percutaneous decompression using coblation to cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V612,Revisional percutaneous decompression using coblation to thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V613,Revisional percutaneous decompression using coblation to lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V618,Other specified revisional percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V619,Unspecified revisional percutaneous decompression using coblation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V62,Primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V621,Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V622,Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V623,Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V628,Other specified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V629,Unspecified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V63,Revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V631,Revisional percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V632,Revisional percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V633,Revisional percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V638,Other specified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
V639,Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc,Intervertebral disc disorders,intervert_disc,202
W191,Primary open reduction of fracture of neck of femur and open fixation using pin and plate,Fracture of hip,fracture_hip,198
W241,Closed reduction of intracapsular fracture of neck of femur and fixation using nail or screw,Fracture of hip,fracture_hip,198
X401,Renal dialysis,Chronic kidney disease,ckd,103
X402,Peritoneal dialysis NEC,Chronic kidney disease,ckd,103
X403,Haemodialysis NEC,Chronic kidney disease,ckd,103
X405,Automated peritoneal dialysis,Chronic kidney disease,ckd,103
X406,Continuous ambulatory peritoneal dialysis,Chronic kidney disease,ckd,103
X411,Insertion of ambulatory peritoneal dialysis catheter,Chronic kidney disease,ckd,103
X412,Removal of ambulatory peritoneal dialysis catheter,Chronic kidney disease,ckd,103
X421,Insertion of temporary peritoneal dialysis catheter,Chronic kidney disease,ckd,103
